product_id,product_name_raw,category,subcategory,brand,unit_price_text,unit_price,unit_cost,stock_qty,is_active
CLT0001,T-Shirt | Black | S,Clothing,Tops,Nile Fashion,EGP 90,90,40,449,1
CLT0002,T-Shirt | Black | M,Clothing,Tops,Nile Fashion,EGP 90,90,40,94,1
CLT0003,T-Shirt | Black | L,Clothing,Tops,Nile Fashion,EGP 90,90,40,444,1
CLT0004,T-Shirt | Black | XL,Clothing,Tops,Nile Fashion,EGP 90,90,40,408,1
CLT0005,T-Shirt | White | S,Clothing,Tops,Nile Fashion,EGP 90,90,40,22,1
CLT0006,T-Shirt | White | M,Clothing,Tops,Nile Fashion,EGP 80,80,40,130,1
CLT0007,T-Shirt | White | L,Clothing,Tops,Nile Fashion,EGP 90,90,40,392,1
CLT0008,T-Shirt | White | XL,Clothing,Tops,Nile Fashion,EGP 90,90,40,417,1
CLT0009,T-Shirt | Navy | S,Clothing,Tops,Nile Fashion,EGP 90,90,40,44,1
CLT0010,T-Shirt | Navy | M,Clothing,Tops,Nile Fashion,EGP 90,90,40,338,1
CLT0011,T-Shirt | Navy | L,Clothing,Tops,Nile Fashion,EGP 80,80,40,483,1
CLT0012,T-Shirt | Navy | XL,Clothing,Tops,Nile Fashion,EGP 90,90,40,343,1
CLT0013,T-Shirt | Grey | S,Clothing,Tops,Nile Fashion,EGP 90,90,40,93,1
CLT0014,T-Shirt | Grey | M,Clothing,Tops,Nile Fashion,EGP 80,80,40,200,1
CLT0015,T-Shirt | Grey | L,Clothing,Tops,Nile Fashion,EGP 90,90,40,360,1
CLT0016,T-Shirt | Grey | XL,Clothing,Tops,Nile Fashion,EGP 90,90,40,204,1
CLT0017,Polo Shirt | Black | S,Clothing,Tops,Sphinx Collection,EGP 150,150,70,422,0
CLT0018,Polo Shirt | Black | M,Clothing,Tops,Sphinx Collection,EGP 150,150,70,219,1
CLT0019,Polo Shirt | Black | L,Clothing,Tops,Sphinx Collection,EGP 140,140,70,218,0
CLT0020,Polo Shirt | Black | XL,Clothing,Tops,Sphinx Collection,EGP 140,140,70,28,1
CLT0021,Polo Shirt | White | S,Clothing,Tops,Sphinx Collection,EGP 140,140,70,143,1
CLT0022,Polo Shirt | White | M,Clothing,Tops,Sphinx Collection,EGP 150,150,70,415,1
CLT0023,Polo Shirt | White | L,Clothing,Tops,Sphinx Collection,EGP 150,150,70,88,1
